instant;dteday;season;year;month;hours;holiday;a_week;weather_situation;temp;atemp;humidity;wind_speed;casual;registered;count_cr;category_days;humidity_category
5329;14/08/2011;Fall;2011;Aug;22;0;Sunday;Light_Rainsnow;24.599.999.999.999.900;27.275;88.0;329.975;14;25;39;weekend;Lembab
5330;14/08/2011;Fall;2011;Aug;23;0;Sunday;Light_Rainsnow;24.599.999.999.999.900;28.03;83.0;0.0;5;22;27;weekend;Lembab
5331;15/08/2011;Fall;2011;Aug;0;0;Monday;Light_Rainsnow;24.599.999.999.999.900;27.275;88.0;60.032;7;18;25;weekdays;Lembab
5332;15/08/2011;Fall;2011;Aug;1;0;Monday;Misty;24.599.999.999.999.900;27.275;88.0;89.981;1;9;10;weekdays;Lembab
5333;15/08/2011;Fall;2011;Aug;2;0;Monday;Misty;24.599.999.999.999.900;28.03;83.0;0.0;0;3;3;weekdays;Lembab
5334;15/08/2011;Fall;2011;Aug;3;0;Monday;Clear;24.599.999.999.999.900;28.03;83.0;12.998.000.000.000.000;1;6;7;weekdays;Lembab
5335;15/08/2011;Fall;2011;Aug;4;0;Monday;Clear;24.599.999.999.999.900;28.03;83.0;89.981;1;4;5;weekdays;Lembab
5336;15/08/2011;Fall;2011;Aug;5;0;Monday;Misty;24.599.999.999.999.900;27.275;88.0;12.998.000.000.000.000;3;14;17;weekdays;Lembab
5337;15/08/2011;Fall;2011;Aug;6;0;Monday;Clear;24.599.999.999.999.900;27.275;88.0;16.997.899.999.999.900;3;87;90;weekdays;Lembab
5338;15/08/2011;Fall;2011;Aug;7;0;Monday;Clear;24.599.999.999.999.900;27.275;88.0;16.997.899.999.999.900;10;248;258;weekdays;Lembab
5339;15/08/2011;Fall;2011;Aug;8;0;Monday;Clear;26.240.000.000.000.000;29.544.999.999.999.900;78.0;220.028;29;326;355;weekdays;Lembab
5340;15/08/2011;Fall;2011;Aug;9;0;Monday;Clear;26.240.000.000.000.000;29.544.999.999.999.900;78.0;220.028;52;170;222;weekdays;Lembab
5341;15/08/2011;Fall;2011;Aug;10;0;Monday;Clear;27.880.000.000.000.000;31.819.999.999.999.900;69.0;190.012;54;87;141;weekdays;Lembab
5342;15/08/2011;Fall;2011;Aug;11;0;Monday;Misty;29.52;34.089.999.999.999.900;62.0;16.997.899.999.999.900;41;112;153;weekdays;Ideal
5343;15/08/2011;Fall;2011;Aug;12;0;Monday;Clear;30.34;34.089.999.999.999.900;5.799.999.999.999.990;190.012;62;116;178;weekdays;Ideal
5344;15/08/2011;Fall;2011;Aug;13;0;Monday;Clear;31.98;35.605;52.0;190.012;53;140;193;weekdays;Ideal
5345;15/08/2011;Fall;2011;Aug;14;0;Monday;Clear;30.34;34.089.999.999.999.900;5.500.000.000.000.000;60.032;56;95;151;weekdays;Ideal
5346;15/08/2011;Fall;2011;Aug;15;0;Monday;Light_Rainsnow;30.34;34.089.999.999.999.900;5.500.000.000.000.000;19.999.499.999.999.900;49;133;182;weekdays;Ideal
5347;15/08/2011;Fall;2011;Aug;16;0;Monday;Clear;30.34;34.089.999.999.999.900;5.500.000.000.000.000;220.028;58;225;283;weekdays;Ideal
5348;15/08/2011;Fall;2011;Aug;17;0;Monday;Clear;30.34;33.335;51.0;190.012;59;471;530;weekdays;Ideal
5349;15/08/2011;Fall;2011;Aug;18;0;Monday;Clear;28.7;32.574.999.999.999.900;65.0;12.998.000.000.000.000;70;413;483;weekdays;Lembab
5350;15/08/2011;Fall;2011;Aug;19;0;Monday;Clear;28.7;32.574.999.999.999.900;65.0;0.0;54;343;397;weekdays;Lembab
5351;15/08/2011;Fall;2011;Aug;20;0;Monday;Clear;27.060.000.000.000.000;31.06;74.0;89.981;45;240;285;weekdays;Lembab
5352;15/08/2011;Fall;2011;Aug;21;0;Monday;Clear;27.060.000.000.000.000;31.06;65.0;12.998.000.000.000.000;34;150;184;weekdays;Lembab
5353;15/08/2011;Fall;2011;Aug;22;0;Monday;Clear;27.060.000.000.000.000;31.06;69.0;16.997.899.999.999.900;22;76;98;weekdays;Lembab
5354;15/08/2011;Fall;2011;Aug;23;0;Monday;Clear;26.240.000.000.000.000;30.305;69.0;15.001.299.999.999.900;11;77;88;weekdays;Lembab
5355;16/08/2011;Fall;2011;Aug;0;0;Tuesday;Clear;26.240.000.000.000.000;30.305;69.0;70.015;8;23;31;weekdays;Lembab
5356;16/08/2011;Fall;2011;Aug;1;0;Tuesday;Clear;26.240.000.000.000.000;30.305;69.0;110.014;4;12;16;weekdays;Lembab
5357;16/08/2011;Fall;2011;Aug;2;0;Tuesday;Clear;25.419.999.999.999.900;29.544.999.999.999.900;73.0;15.001.299.999.999.900;1;3;4;weekdays;Lembab
5358;16/08/2011;Fall;2011;Aug;3;0;Tuesday;Clear;25.419.999.999.999.900;29.544.999.999.999.900;73.0;15.001.299.999.999.900;1;5;6;weekdays;Lembab
5359;16/08/2011;Fall;2011;Aug;4;0;Tuesday;Clear;26.240.000.000.000.000;30.305;69.0;19.999.499.999.999.900;0;5;5;weekdays;Lembab
5360;16/08/2011;Fall;2011;Aug;5;0;Tuesday;Clear;25.419.999.999.999.900;29.544.999.999.999.900;73.0;190.012;1;29;30;weekdays;Lembab
5361;16/08/2011;Fall;2011;Aug;6;0;Tuesday;Clear;25.419.999.999.999.900;29.544.999.999.999.900;73.0;220.028;4;115;119;weekdays;Lembab
5362;16/08/2011;Fall;2011;Aug;7;0;Tuesday;Clear;26.240.000.000.000.000;30.305;69.0;16.997.899.999.999.900;18;328;346;weekdays;Lembab
5363;16/08/2011;Fall;2011;Aug;8;0;Tuesday;Clear;28.7;32.574.999.999.999.900;5.799.999.999.999.990;30.002.599.999.999.900;24;417;441;weekdays;Ideal
5364;16/08/2011;Fall;2011;Aug;9;0;Tuesday;Clear;27.880.000.000.000.000;31.819.999.999.999.900;61.0;190.012;27;171;198;weekdays;Ideal
5365;16/08/2011;Fall;2011;Aug;10;0;Tuesday;Clear;28.7;32.574.999.999.999.900;5.799.999.999.999.990;260.027;28;83;111;weekdays;Ideal
5366;16/08/2011;Fall;2011;Aug;11;0;Tuesday;Clear;30.34;33.335;51.0;15.001.299.999.999.900;40;110;150;weekdays;Ideal
5367;16/08/2011;Fall;2011;Aug;12;0;Tuesday;Clear;31.16;34.089.999.999.999.900;48.0;220.028;42;120;162;weekdays;Ideal
5368;16/08/2011;Fall;2011;Aug;13;0;Tuesday;Clear;31.16;34.089.999.999.999.900;48.0;19.999.499.999.999.900;45;147;192;weekdays;Ideal
5369;16/08/2011;Fall;2011;Aug;14;0;Tuesday;Clear;31.16;34.089.999.999.999.900;45.0;27.999.299.999.999.900;65;117;182;weekdays;Ideal
5370;16/08/2011;Fall;2011;Aug;15;0;Tuesday;Clear;32.800.000.000.000.000;35.605;41.0;19.999.499.999.999.900;36;123;159;weekdays;Kering
5371;16/08/2011;Fall;2011;Aug;16;0;Tuesday;Clear;32.800.000.000.000.000;35.605;41.0;15.001.299.999.999.900;55;248;303;weekdays;Kering
5372;16/08/2011;Fall;2011;Aug;17;0;Tuesday;Clear;31.16;34.089.999.999.999.900;45.0;220.028;75;525;600;weekdays;Ideal
5373;16/08/2011;Fall;2011;Aug;18;0;Tuesday;Clear;31.16;34.089.999.999.999.900;45.0;15.001.299.999.999.900;54;516;570;weekdays;Ideal
5374;16/08/2011;Fall;2011;Aug;19;0;Tuesday;Clear;30.34;33.335;48.0;12.998.000.000.000.000;56;320;376;weekdays;Ideal
5375;16/08/2011;Fall;2011;Aug;20;0;Tuesday;Clear;30.34;33.335;51.0;0.0;48;232;280;weekdays;Ideal
5376;16/08/2011;Fall;2011;Aug;21;0;Tuesday;Clear;29.52;33.335;54.0;0.0;38;177;215;weekdays;Ideal
5377;16/08/2011;Fall;2011;Aug;22;0;Tuesday;Clear;28.7;32.574.999.999.999.900;61.0;0.0;31;121;152;weekdays;Ideal
5378;16/08/2011;Fall;2011;Aug;23;0;Tuesday;Clear;27.060.000.000.000.000;31.06;65.0;89.981;20;57;77;weekdays;Lembab
5379;17/08/2011;Fall;2011;Aug;0;0;Wednesday;Clear;27.060.000.000.000.000;31.06;69.0;60.032;8;16;24;weekdays;Lembab
5380;17/08/2011;Fall;2011;Aug;1;0;Wednesday;Clear;26.240.000.000.000.000;30.305;73.0;110.014;2;12;14;weekdays;Lembab
5381;17/08/2011;Fall;2011;Aug;2;0;Wednesday;Clear;27.060.000.000.000.000;31.06;69.0;0.0;0;6;6;weekdays;Lembab
5382;17/08/2011;Fall;2011;Aug;3;0;Wednesday;Clear;26.240.000.000.000.000;29.544.999.999.999.900;78.0;0.0;1;4;5;weekdays;Lembab
5383;17/08/2011;Fall;2011;Aug;4;0;Wednesday;Clear;26.240.000.000.000.000;30.305;73.0;0.0;0;5;5;weekdays;Lembab
5384;17/08/2011;Fall;2011;Aug;5;0;Wednesday;Clear;26.240.000.000.000.000;30.305;73.0;0.0;0;28;28;weekdays;Lembab
5385;17/08/2011;Fall;2011;Aug;6;0;Wednesday;Clear;25.419.999.999.999.900;29.544.999.999.999.900;78.0;0.0;4;101;105;weekdays;Lembab
5386;17/08/2011;Fall;2011;Aug;7;0;Wednesday;Clear;27.060.000.000.000.000;31.06;65.0;60.032;12;296;308;weekdays;Lembab
5387;17/08/2011;Fall;2011;Aug;8;0;Wednesday;Clear;28.7;32.574.999.999.999.900;54.0;110.014;35;452;487;weekdays;Ideal
5388;17/08/2011;Fall;2011;Aug;9;0;Wednesday;Clear;30.34;33.335;48.0;60.032;31;178;209;weekdays;Ideal
5389;17/08/2011;Fall;2011;Aug;10;0;Wednesday;Clear;31.16;34.089.999.999.999.900;43.0;60.032;27;91;118;weekdays;Kering
5390;17/08/2011;Fall;2011;Aug;11;0;Wednesday;Clear;31.98;34.849.999.999.999.900;43.0;70.015;20;108;128;weekdays;Kering
5391;17/08/2011;Fall;2011;Aug;12;0;Wednesday;Clear;32.800.000.000.000.000;36.364.999.999.999.900;43.0;190.012;26;163;189;weekdays;Kering
5392;17/08/2011;Fall;2011;Aug;13;0;Wednesday;Clear;32.800.000.000.000.000;35.605;41.0;12.998.000.000.000.000;38;138;176;weekdays;Kering
5393;17/08/2011;Fall;2011;Aug;14;0;Wednesday;Clear;33.62;36.364.999.999.999.900;36.0;110.014;54;138;192;weekdays;Kering
5394;17/08/2011;Fall;2011;Aug;15;0;Wednesday;Clear;32.800.000.000.000.000;36.364.999.999.999.900;43.0;89.981;42;117;159;weekdays;Kering
5395;17/08/2011;Fall;2011;Aug;16;0;Wednesday;Clear;33.62;37.12;43.0;15.001.299.999.999.900;62;238;300;weekdays;Kering
5396;17/08/2011;Fall;2011;Aug;17;0;Wednesday;Clear;32.800.000.000.000.000;37.12;49.0;15.001.299.999.999.900;46;506;552;weekdays;Ideal
5397;17/08/2011;Fall;2011;Aug;18;0;Wednesday;Clear;31.16;34.849.999.999.999.900;5.500.000.000.000.000;16.997.899.999.999.900;86;470;556;weekdays;Ideal
5398;17/08/2011;Fall;2011;Aug;19;0;Wednesday;Clear;31.16;34.849.999.999.999.900;5.500.000.000.000.000;15.001.299.999.999.900;50;297;347;weekdays;Ideal
5399;17/08/2011;Fall;2011;Aug;20;0;Wednesday;Clear;30.34;34.089.999.999.999.900;5.799.999.999.999.990;16.997.899.999.999.900;37;243;280;weekdays;Ideal
5400;17/08/2011;Fall;2011;Aug;21;0;Wednesday;Clear;29.52;34.089.999.999.999.900;62.0;15.001.299.999.999.900;38;192;230;weekdays;Ideal
5401;17/08/2011;Fall;2011;Aug;22;0;Wednesday;Clear;28.7;32.574.999.999.999.900;65.0;12.998.000.000.000.000;29;142;171;weekdays;Lembab
5402;17/08/2011;Fall;2011;Aug;23;0;Wednesday;Clear;28.7;32.574.999.999.999.900;65.0;190.012;20;85;105;weekdays;Lembab
5403;18/08/2011;Fall;2011;Aug;0;0;Thrusday;Clear;27.880.000.000.000.000;31.819.999.999.999.900;65.0;89.981;18;38;56;weekdays;Lembab
5404;18/08/2011;Fall;2011;Aug;1;0;Thrusday;Misty;27.060.000.000.000.000;31.06;65.0;110.014;13;11;24;weekdays;Lembab
5405;18/08/2011;Fall;2011;Aug;2;0;Thrusday;Clear;27.060.000.000.000.000;31.06;65.0;15.001.299.999.999.900;2;4;6;weekdays;Lembab
5406;18/08/2011;Fall;2011;Aug;3;0;Thrusday;Clear;27.060.000.000.000.000;31.06;69.0;190.012;0;6;6;weekdays;Lembab
5407;18/08/2011;Fall;2011;Aug;4;0;Thrusday;Clear;26.240.000.000.000.000;30.305;73.0;15.001.299.999.999.900;0;9;9;weekdays;Lembab
5408;18/08/2011;Fall;2011;Aug;5;0;Thrusday;Clear;26.240.000.000.000.000;29.544.999.999.999.900;78.0;190.012;0;27;27;weekdays;Lembab
5409;18/08/2011;Fall;2011;Aug;6;0;Thrusday;Misty;26.240.000.000.000.000;29.544.999.999.999.900;78.0;16.997.899.999.999.900;6;97;103;weekdays;Lembab
5410;18/08/2011;Fall;2011;Aug;7;0;Thrusday;Clear;26.240.000.000.000.000;29.544.999.999.999.900;78.0;19.999.499.999.999.900;19;289;308;weekdays;Lembab
5411;18/08/2011;Fall;2011;Aug;8;0;Thrusday;Clear;27.060.000.000.000.000;31.06;74.0;190.012;27;393;420;weekdays;Lembab
5412;18/08/2011;Fall;2011;Aug;9;0;Thrusday;Clear;29.52;34.089.999.999.999.900;66.0;16.997.899.999.999.900;42;186;228;weekdays;Lembab
5413;18/08/2011;Fall;2011;Aug;10;0;Thrusday;Clear;30.34;34.849.999.999.999.900;66.0;16.997.899.999.999.900;37;92;129;weekdays;Lembab
5414;18/08/2011;Fall;2011;Aug;11;0;Thrusday;Clear;31.16;35.605;5.799.999.999.999.990;16.997.899.999.999.900;44;97;141;weekdays;Ideal
5415;18/08/2011;Fall;2011;Aug;12;0;Thrusday;Clear;32.800.000.000.000.000;37.12;52.0;190.012;34;139;173;weekdays;Ideal
5416;18/08/2011;Fall;2011;Aug;13;0;Thrusday;Clear;32.800.000.000.000.000;37.12;52.0;239.994;33;154;187;weekdays;Ideal
5417;18/08/2011;Fall;2011;Aug;14;0;Thrusday;Clear;33.62;37.88;46.0;220.028;67;115;182;weekdays;Ideal
5418;18/08/2011;Fall;2011;Aug;15;0;Thrusday;Clear;32.800.000.000.000.000;36.364.999.999.999.900;46.0;239.994;56;118;174;weekdays;Ideal
5419;18/08/2011;Fall;2011;Aug;16;0;Thrusday;Clear;32.800.000.000.000.000;36.364.999.999.999.900;46.0;239.994;49;196;245;weekdays;Ideal
5420;18/08/2011;Fall;2011;Aug;17;0;Thrusday;Light_Rainsnow;32.800.000.000.000.000;36.364.999.999.999.900;46.0;19.999.499.999.999.900;44;365;409;weekdays;Ideal
5421;18/08/2011;Fall;2011;Aug;18;0;Thrusday;Light_Rainsnow;31.16;34.849.999.999.999.900;5.500.000.000.000.000;16.997.899.999.999.900;48;226;274;weekdays;Ideal
5422;18/08/2011;Fall;2011;Aug;19;0;Thrusday;Clear;27.060.000.000.000.000;30.305;83.0;70.015;26;115;141;weekdays;Lembab
5423;18/08/2011;Fall;2011;Aug;20;0;Thrusday;Clear;27.060.000.000.000.000;30.305;83.0;70.015;24;141;165;weekdays;Lembab
5424;18/08/2011;Fall;2011;Aug;21;0;Thrusday;Misty;27.880.000.000.000.000;31.819.999.999.999.900;79.0;0.0;12;137;149;weekdays;Lembab
5425;18/08/2011;Fall;2011;Aug;22;0;Thrusday;Misty;28.7;33.335;74.0;70.015;18;117;135;weekdays;Lembab
5426;18/08/2011;Fall;2011;Aug;23;0;Thrusday;Misty;28.7;33.335;74.0;89.981;20;94;114;weekdays;Lembab
5427;19/08/2011;Fall;2011;Aug;0;0;Friday;Light_Rainsnow;27.880.000.000.000.000;31.819.999.999.999.900;69.0;12.998.000.000.000.000;9;53;62;weekdays;Lembab
5428;19/08/2011;Fall;2011;Aug;1;0;Friday;Light_Rainsnow;26.240.000.000.000.000;28.79;89.0;0.0;1;19;20;weekdays;Lembab
5429;19/08/2011;Fall;2011;Aug;2;0;Friday;Light_Rainsnow;26.240.000.000.000.000;28.79;83.0;0.0;0;8;8;weekdays;Lembab
5430;19/08/2011;Fall;2011;Aug;3;0;Friday;Clear;26.240.000.000.000.000;29.544.999.999.999.900;78.0;0.0;2;1;3;weekdays;Lembab
5431;19/08/2011;Fall;2011;Aug;4;0;Friday;Clear;26.240.000.000.000.000;28.79;83.0;0.0;1;7;8;weekdays;Lembab
5432;19/08/2011;Fall;2011;Aug;5;0;Friday;Clear;26.240.000.000.000.000;28.79;83.0;0.0;1;16;17;weekdays;Lembab
5433;19/08/2011;Fall;2011;Aug;6;0;Friday;Clear;26.240.000.000.000.000;28.79;83.0;0.0;2;91;93;weekdays;Lembab
5434;19/08/2011;Fall;2011;Aug;7;0;Friday;Misty;27.060.000.000.000.000;30.305;83.0;60.032;12;251;263;weekdays;Lembab
5435;19/08/2011;Fall;2011;Aug;8;0;Friday;Misty;27.060.000.000.000.000;30.305;83.0;0.0;30;368;398;weekdays;Lembab
5436;19/08/2011;Fall;2011;Aug;9;0;Friday;Clear;28.7;32.574.999.999.999.900;65.0;89.981;31;187;218;weekdays;Lembab
5437;19/08/2011;Fall;2011;Aug;10;0;Friday;Clear;29.52;34.089.999.999.999.900;62.0;60.032;57;108;165;weekdays;Ideal
5438;19/08/2011;Fall;2011;Aug;11;0;Friday;Misty;29.52;34.089.999.999.999.900;66.0;60.032;45;120;165;weekdays;Lembab
5439;19/08/2011;Fall;2011;Aug;12;0;Friday;Misty;30.34;34.089.999.999.999.900;62.0;60.032;54;168;222;weekdays;Ideal
5440;19/08/2011;Fall;2011;Aug;13;0;Friday;Misty;31.16;35.605;62.0;12.998.000.000.000.000;63;169;232;weekdays;Ideal
5441;19/08/2011;Fall;2011;Aug;14;0;Friday;Clear;31.98;36.364.999.999.999.900;5.500.000.000.000.000;12.998.000.000.000.000;78;142;220;weekdays;Ideal
5442;19/08/2011;Fall;2011;Aug;15;0;Friday;Clear;32.800.000.000.000.000;37.12;49.0;70.015;66;156;222;weekdays;Ideal
5443;19/08/2011;Fall;2011;Aug;16;0;Friday;Clear;32.800.000.000.000.000;37.12;49.0;0.0;66;261;327;weekdays;Ideal
5444;19/08/2011;Fall;2011;Aug;17;0;Friday;Clear;31.16;35.605;5.799.999.999.999.990;350.008;85;442;527;weekdays;Ideal
5445;19/08/2011;Fall;2011;Aug;18;0;Friday;Clear;31.16;35.605;5.799.999.999.999.990;350.008;88;337;425;weekdays;Ideal
5446;19/08/2011;Fall;2011;Aug;19;0;Friday;Light_Rainsnow;25.419.999.999.999.900;29.544.999.999.999.900;73.0;310.009;33;132;165;weekdays;Lembab
5447;19/08/2011;Fall;2011;Aug;20;0;Friday;Light_Rainsnow;25.419.999.999.999.900;28.79;83.0;19.999.499.999.999.900;12;46;58;weekdays;Lembab
5448;19/08/2011;Fall;2011;Aug;21;0;Friday;Clear;25.419.999.999.999.900;28.79;83.0;89.981;18;89;107;weekdays;Lembab
5449;19/08/2011;Fall;2011;Aug;22;0;Friday;Clear;24.599.999.999.999.900;27.275;88.0;89.981;25;97;122;weekdays;Lembab
5450;19/08/2011;Fall;2011;Aug;23;0;Friday;Misty;24.599.999.999.999.900;27.275;88.0;60.032;18;88;106;weekdays;Lembab
5451;20/08/2011;Fall;2011;Aug;0;0;Saturday;Clear;24.599.999.999.999.900;27.275;88.0;0.0;21;107;128;weekend;Lembab
5452;20/08/2011;Fall;2011;Aug;1;0;Saturday;Clear;25.419.999.999.999.900;28.79;83.0;0.0;12;35;47;weekend;Lembab
5453;20/08/2011;Fall;2011;Aug;2;0;Saturday;Clear;25.419.999.999.999.900;29.544.999.999.999.900;78.0;0.0;10;59;69;weekend;Lembab
5454;20/08/2011;Fall;2011;Aug;3;0;Saturday;Clear;25.419.999.999.999.900;29.544.999.999.999.900;78.0;0.0;9;42;51;weekend;Lembab
5455;20/08/2011;Fall;2011;Aug;4;0;Saturday;Misty;24.599.999.999.999.900;27.275;88.0;0.0;1;6;7;weekend;Lembab
5456;20/08/2011;Fall;2011;Aug;5;0;Saturday;Clear;24.599.999.999.999.900;28.03;83.0;0.0;0;8;8;weekend;Lembab
5457;20/08/2011;Fall;2011;Aug;6;0;Saturday;Misty;24.599.999.999.999.900;28.03;83.0;89.981;6;18;24;weekend;Lembab
5458;20/08/2011;Fall;2011;Aug;7;0;Saturday;Clear;25.419.999.999.999.900;28.79;83.0;0.0;8;36;44;weekend;Lembab
5459;20/08/2011;Fall;2011;Aug;8;0;Saturday;Clear;27.060.000.000.000.000;31.06;69.0;0.0;27;106;133;weekend;Lembab
5460;20/08/2011;Fall;2011;Aug;9;0;Saturday;Clear;28.7;32.574.999.999.999.900;65.0;0.0;51;139;190;weekend;Lembab
5461;20/08/2011;Fall;2011;Aug;10;0;Saturday;Clear;29.52;34.089.999.999.999.900;62.0;70.015;114;192;306;weekend;Ideal
5462;20/08/2011;Fall;2011;Aug;11;0;Saturday;Clear;29.52;33.335;5.799.999.999.999.990;0.0;115;223;338;weekend;Ideal
5463;20/08/2011;Fall;2011;Aug;12;0;Saturday;Clear;30.34;34.089.999.999.999.900;5.799.999.999.999.990;89.981;156;253;409;weekend;Ideal
5464;20/08/2011;Fall;2011;Aug;13;0;Saturday;Clear;31.16;34.849.999.999.999.900;5.500.000.000.000.000;89.981;158;220;378;weekend;Ideal
5465;20/08/2011;Fall;2011;Aug;14;0;Saturday;Clear;32.800.000.000.000.000;37.12;49.0;12.998.000.000.000.000;147;228;375;weekend;Ideal
5466;20/08/2011;Fall;2011;Aug;15;0;Saturday;Clear;32.800.000.000.000.000;36.364.999.999.999.900;43.0;12.998.000.000.000.000;175;215;390;weekend;Kering
5467;20/08/2011;Fall;2011;Aug;16;0;Saturday;Clear;32.800.000.000.000.000;36.364.999.999.999.900;46.0;12.998.000.000.000.000;151;222;373;weekend;Ideal
5468;20/08/2011;Fall;2011;Aug;17;0;Saturday;Clear;32.800.000.000.000.000;37.12;49.0;12.998.000.000.000.000;180;203;383;weekend;Ideal
5469;20/08/2011;Fall;2011;Aug;18;0;Saturday;Clear;31.16;35.605;5.799.999.999.999.990;16.997.899.999.999.900;169;225;394;weekend;Ideal
5470;20/08/2011;Fall;2011;Aug;19;0;Saturday;Clear;30.34;34.089.999.999.999.900;62.0;12.998.000.000.000.000;109;182;291;weekend;Ideal
5471;20/08/2011;Fall;2011;Aug;20;0;Saturday;Clear;30.34;34.089.999.999.999.900;62.0;15.001.299.999.999.900;78;170;248;weekend;Ideal
5472;20/08/2011;Fall;2011;Aug;21;0;Saturday;Clear;29.52;34.089.999.999.999.900;70.0;15.001.299.999.999.900;81;144;225;weekend;Lembab
5473;20/08/2011;Fall;2011;Aug;22;0;Saturday;Misty;28.7;33.335;74.0;12.998.000.000.000.000;77;146;223;weekend;Lembab
5474;20/08/2011;Fall;2011;Aug;23;0;Saturday;Clear;28.7;33.335;74.0;89.981;59;98;157;weekend;Lembab
5475;21/08/2011;Fall;2011;Aug;0;0;Sunday;Clear;28.7;33.335;74.0;12.998.000.000.000.000;6;68;74;weekend;Lembab
5476;21/08/2011;Fall;2011;Aug;1;0;Sunday;Clear;27.880.000.000.000.000;31.819.999.999.999.900;79.0;15.001.299.999.999.900;17;69;86;weekend;Lembab
5477;21/08/2011;Fall;2011;Aug;2;0;Sunday;Clear;27.880.000.000.000.000;31.819.999.999.999.900;79.0;12.998.000.000.000.000;13;51;64;weekend;Lembab
5478;21/08/2011;Fall;2011;Aug;3;0;Sunday;Clear;27.060.000.000.000.000;30.305;83.0;15.001.299.999.999.900;25;26;51;weekend;Lembab
5479;21/08/2011;Fall;2011;Aug;4;0;Sunday;Clear;27.880.000.000.000.000;31.819.999.999.999.900;83.0;15.001.299.999.999.900;1;5;6;weekend;Lembab
5480;21/08/2011;Fall;2011;Aug;5;0;Sunday;Clear;27.060.000.000.000.000;29.544.999.999.999.900;89.0;19.999.499.999.999.900;0;8;8;weekend;Lembab
5481;21/08/2011;Fall;2011;Aug;6;0;Sunday;Clear;27.060.000.000.000.000;29.544.999.999.999.900;89.0;190.012;4;10;14;weekend;Lembab
5482;21/08/2011;Fall;2011;Aug;7;0;Sunday;Clear;27.880.000.000.000.000;31.819.999.999.999.900;83.0;19.999.499.999.999.900;12;19;31;weekend;Lembab
5483;21/08/2011;Fall;2011;Aug;8;0;Sunday;Clear;28.7;33.335;79.0;15.001.299.999.999.900;30;62;92;weekend;Lembab
5484;21/08/2011;Fall;2011;Aug;9;0;Sunday;Clear;29.52;34.849.999.999.999.900;74.0;15.001.299.999.999.900;80;151;231;weekend;Lembab
5485;21/08/2011;Fall;2011;Aug;10;0;Sunday;Clear;30.34;35.605;74.0;16.997.899.999.999.900;97;177;274;weekend;Lembab
5486;21/08/2011;Fall;2011;Aug;11;0;Sunday;Clear;32.800.000.000.000.000;39.395;63.0;190.012;132;181;313;weekend;Ideal
5487;21/08/2011;Fall;2011;Aug;12;0;Sunday;Clear;33.62;40.150.000.000.000.000;59.0;190.012;135;239;374;weekend;Ideal
5488;21/08/2011;Fall;2011;Aug;13;0;Sunday;Clear;32.800.000.000.000.000;38.635.000.000.000.000;59.0;27.999.299.999.999.900;94;216;310;weekend;Ideal
5489;21/08/2011;Fall;2011;Aug;14;0;Sunday;Light_Rainsnow;28.7;33.335;79.0;260.027;78;157;235;weekend;Lembab
5490;21/08/2011;Fall;2011;Aug;15;0;Sunday;Clear;28.7;33.335;84.0;190.012;17;51;68;weekend;Lembab
5491;21/08/2011;Fall;2011;Aug;16;0;Sunday;Clear;29.52;34.849.999.999.999.900;79.0;110.014;97;161;258;weekend;Lembab
5492;21/08/2011;Fall;2011;Aug;17;0;Sunday;Clear;29.52;34.849.999.999.999.900;79.0;89.981;91;179;270;weekend;Lembab
5493;21/08/2011;Fall;2011;Aug;18;0;Sunday;Clear;29.52;34.849.999.999.999.900;79.0;16.997.899.999.999.900;96;215;311;weekend;Lembab
5494;21/08/2011;Fall;2011;Aug;19;0;Sunday;Clear;29.52;34.089.999.999.999.900;70.0;16.997.899.999.999.900;81;201;282;weekend;Lembab
5495;21/08/2011;Fall;2011;Aug;20;0;Sunday;Clear;28.7;33.335;79.0;16.997.899.999.999.900;41;140;181;weekend;Lembab
5496;21/08/2011;Fall;2011;Aug;21;0;Sunday;Clear;28.7;33.335;79.0;16.997.899.999.999.900;45;93;138;weekend;Lembab
5497;21/08/2011;Fall;2011;Aug;22;0;Sunday;Misty;28.7;33.335;79.0;12.998.000.000.000.000;37;97;134;weekend;Lembab
5498;21/08/2011;Fall;2011;Aug;23;0;Sunday;Clear;28.7;33.335;74.0;110.014;20;48;68;weekend;Lembab
5499;22/08/2011;Fall;2011;Aug;0;0;Monday;Clear;27.880.000.000.000.000;31.819.999.999.999.900;79.0;110.014;18;22;40;weekdays;Lembab
5500;22/08/2011;Fall;2011;Aug;1;0;Monday;Clear;27.880.000.000.000.000;31.819.999.999.999.900;79.0;60.032;8;13;21;weekdays;Lembab
5501;22/08/2011;Fall;2011;Aug;2;0;Monday;Misty;28.7;32.574.999.999.999.900;65.0;70.015;2;6;8;weekdays;Lembab
5502;22/08/2011;Fall;2011;Aug;3;0;Monday;Light_Rainsnow;28.7;32.574.999.999.999.900;65.0;89.981;0;5;5;weekdays;Lembab
5503;22/08/2011;Fall;2011;Aug;4;0;Monday;Clear;27.880.000.000.000.000;31.819.999.999.999.900;65.0;12.998.000.000.000.000;2;10;12;weekdays;Lembab
5504;22/08/2011;Fall;2011;Aug;5;0;Monday;Clear;27.060.000.000.000.000;31.06;65.0;239.994;1;23;24;weekdays;Lembab
5505;22/08/2011;Fall;2011;Aug;6;0;Monday;Clear;27.060.000.000.000.000;31.06;61.0;19.999.499.999.999.900;6;106;112;weekdays;Ideal
