instant;dteday;season;year;month;holiday;a_week;weather_situation;temp;atemp;humidity;wind_speed;casual;registered;count_cr;category_days;humidity_category
182;01/07/2011;Fall;2011;Jul;0;Friday;Clear;29.622.500.000.000.000;326.081;39.625;6.874.736;1246;4116;5362;weekdays;Kering
183;02/07/2011;Fall;2011;Jul;0;Saturday;Clear;30.271.653;333.654;444.583;7.709.154;2204;2915;5119;weekend;Kering
184;03/07/2011;Fall;2011;Jul;0;Sunday;Misty;29.383.347;3.342.875;68.25;15.333.486;2282;2367;4649;weekend;Lembab
185;04/07/2011;Fall;2011;Jul;1;Monday;Misty;29.793.346.999.999.900;3.327.085;637.917;54.591.064.000.000.000;3065;2978;6043;weekdays;Ideal
186;05/07/2011;Fall;2011;Jul;0;Tuesday;Clear;30.613.346.999.999.900;34.816.900.000.000.000;590.417;8.459.286;1031;3634;4665;weekdays;Ideal
187;06/07/2011;Fall;2011;Jul;0;Wednesday;Clear;29.52;3.428.165;7.433.330.000.000.000;10.042.161;784;3845;4629;weekdays;Lembab
188;07/07/2011;Fall;2011;Jul;0;Thrusday;Clear;30.75;3.434.355;65.125;10.666.400.000.000.000;754;3838;4592;weekdays;Lembab
189;08/07/2011;Fall;2011;Jul;0;Friday;Misty;29.075.847;33.524.150.000.000.000;7.579.169.999.999.990;15.083.643;692;3348;4040;weekdays;Lembab
190;09/07/2011;Fall;2011;Jul;0;Saturday;Clear;30.066.653.000.000.000;332.079;609.167;11.250.104;1988;3348;5336;weekend;Ideal
191;10/07/2011;Fall;2011;Jul;0;Sunday;Clear;306.475;3.450.125;578.333;12.292.557;1743;3138;4881;weekend;Ideal
192;11/07/2011;Fall;2011;Jul;0;Monday;Clear;312.625;364.902;635.833;18.916.579;723;3363;4086;weekdays;Ideal
193;12/07/2011;Fall;2011;Jul;0;Tuesday;Clear;32.560.846.999.999.900;3.696.375;559.167;13.417.017.999.999.900;662;3596;4258;weekdays;Ideal
194;13/07/2011;Fall;2011;Jul;0;Wednesday;Clear;30.613.346.999.999.900;344.702;631.667;9.790.911.000.000.000;748;3594;4342;weekdays;Ideal
195;14/07/2011;Fall;2011;Jul;0;Thrusday;Clear;27.914.153.000.000.000;317.552;47.625;16.124.689;888;4196;5084;weekdays;Ideal
196;15/07/2011;Fall;2011;Jul;0;Friday;Clear;27.196.652.999.999.900;3.121.855;5.912.500.000.000.000;12.249.811;1318;4220;5538;weekdays;Ideal
197;16/07/2011;Fall;2011;Jul;0;Saturday;Clear;28.153.347;3.191.315;58.5;13.958.914;2418;3505;5923;weekend;Ideal
198;17/07/2011;Fall;2011;Jul;0;Sunday;Clear;29.485.847;3.349.165;604.167;16.417.211;2006;3296;5302;weekend;Ideal
199;18/07/2011;Fall;2011;Jul;0;Monday;Clear;30.613.346.999.999.900;3.519.625;65.125;14.458.867.999.999.900;841;3617;4458;weekdays;Lembab
200;19/07/2011;Fall;2011;Jul;0;Tuesday;Clear;31.843.347;3.737.395;650.417;87.502;752;3789;4541;weekdays;Lembab
201;20/07/2011;Fall;2011;Jul;0;Wednesday;Clear;31.501.653;373.425;7.070.830.000.000.000;7.625.739;644;3688;4332;weekdays;Lembab
202;21/07/2011;Fall;2011;Jul;0;Thrusday;Misty;33.415;4.131.855;69.125;14.875.407;632;3152;3784;weekdays;Lembab
203;22/07/2011;Fall;2011;Jul;0;Friday;Clear;34.781.653;420.448;580.417;89.177;562;2825;3387;weekdays;Ideal
204;23/07/2011;Fall;2011;Jul;0;Saturday;Clear;34.815.847;40.214.349.999.999.900;50.0;8.791.807;987;2298;3285;weekend;Ideal
205;24/07/2011;Fall;2011;Jul;0;Sunday;Clear;34.03;3.974.145;550.833;11.334.456.999.999.900;1050;2556;3606;weekend;Ideal
206;25/07/2011;Fall;2011;Jul;0;Monday;Clear;30.476.653.000.000.000;360.479;757.083;60.841.560.999.999.900;568;3272;3840;weekdays;Lembab
207;26/07/2011;Fall;2011;Jul;0;Tuesday;Clear;31.638.347;3.484.895;540.833;13.417.285.999.999.900;750;3840;4590;weekdays;Ideal
208;27/07/2011;Fall;2011;Jul;0;Wednesday;Clear;31.775.000.000.000.000;3.453.335;40.291.700.000.000.000;12.292.020.999.999.900;755;3901;4656;weekdays;Kering
209;28/07/2011;Fall;2011;Jul;0;Thrusday;Clear;31.945.847;36.995;583.333;11.958.093;606;3784;4390;weekdays;Ideal
210;29/07/2011;Fall;2011;Jul;0;Friday;Clear;34.371.653;3.929.835;54.25;11.667.245.999.999.900;670;3176;3846;weekdays;Ideal
211;30/07/2011;Fall;2011;Jul;0;Saturday;Clear;32.970.847;3.642.685;465.833;11.291.979;1559;2916;4475;weekend;Ideal
212;31/07/2011;Fall;2011;Jul;0;Sunday;Clear;33.039.153;364.898;480.833;11.042.470.999.999.900;1524;2778;4302;weekend;Ideal
213;01/08/2011;Fall;2011;Aug;0;Monday;Clear;31.638.347;351.646;550.833;10.500.039;729;3537;4266;weekdays;Ideal
214;02/08/2011;Fall;2011;Aug;0;Tuesday;Clear;32.116.653;3.535.355;49.125;1.379.195;801;4044;4845;weekdays;Ideal
215;03/08/2011;Fall;2011;Aug;0;Wednesday;Misty;29.998.347;3.399.685;65.75;9.084.061;467;3107;3574;weekdays;Lembab
216;04/08/2011;Fall;2011;Aug;0;Thrusday;Misty;29.11;332.394;75.75;1.320.905;799;3777;4576;weekdays;Lembab
217;05/08/2011;Fall;2011;Aug;0;Friday;Clear;29.144.153.000.000.000;3.282.835;63.083.299.999.999.900;12.374.632;1023;3843;4866;weekdays;Ideal
218;06/08/2011;Fall;2011;Aug;0;Saturday;Misty;29.383.347;33.807.700.000.000.000;75.5;1.529.275;1521;2773;4294;weekend;Lembab
219;07/08/2011;Fall;2011;Aug;0;Sunday;Clear;30.442.500.000.000.000;357.646;7.529.169.999.999.990;13.499.629;1298;2487;3785;weekend;Lembab
220;08/08/2011;Fall;2011;Aug;0;Monday;Clear;31.365.000.000.000.000;3.516.415;592.083;12.875.725.000.000.000;846;3480;4326;weekdays;Ideal
221;09/08/2011;Fall;2011;Aug;0;Tuesday;Clear;31.775.000.000.000.000;3.620.605;5.704.169.999.999.990;10.125.107;907;3695;4602;weekdays;Ideal
222;10/08/2011;Fall;2011;Aug;0;Wednesday;Clear;31.433.346.999.999.900;3.424.915;424.167;13.417.285.999.999.900;884;3896;4780;weekdays;Kering
223;11/08/2011;Fall;2011;Aug;0;Thrusday;Clear;294.175;3.257.605;42.375;11.041.332;812;3980;4792;weekdays;Kering
224;12/08/2011;Fall;2011;Aug;0;Friday;Clear;29.041.653;327.021;41.5;8.416.607;1051;3854;4905;weekdays;Kering
225;13/08/2011;Fall;2011;Aug;0;Saturday;Misty;28.119.153;322.929;729.583;14.167.418;1504;2646;4150;weekend;Lembab
226;14/08/2011;Fall;2011;Aug;0;Sunday;Misty;27.743.347;31.219.400.000.000.000;81.75;14.916.411;1338;2482;3820;weekend;Lembab
227;15/08/2011;Fall;2011;Aug;0;Monday;Clear;27.299.153;3.080.835;7.120.830.000.000.000;13.999.918;775;3563;4338;weekdays;Lembab
228;16/08/2011;Fall;2011;Aug;0;Tuesday;Clear;28.734.153.000.000.000;3.229.185;578.333;15.834.043.000.000.000;721;4004;4725;weekdays;Ideal
229;17/08/2011;Fall;2011;Aug;0;Wednesday;Clear;29.656.653;3.333.355;575.417;9.625.689;668;4026;4694;weekdays;Ideal
230;18/08/2011;Fall;2011;Aug;0;Thrusday;Clear;29.178.347.000.000.000;331.129;6.545.830.000.000.000;15.624.936;639;3166;3805;weekdays;Lembab
231;19/08/2011;Fall;2011;Aug;0;Friday;Misty;28.085;31.661.050.000.000.000;722.917;9.333.635.999.999.990;797;3356;4153;weekdays;Lembab
232;20/08/2011;Fall;2011;Aug;0;Saturday;Clear;285.975;324.498;6.741.669.999.999.990;6.999.289;1914;3277;5191;weekend;Lembab
233;21/08/2011;Fall;2011;Aug;0;Sunday;Clear;29.144.153.000.000.000;33.776.250.000.000.000;77.0;16.666.518;1249;2624;3873;weekend;Lembab
234;22/08/2011;Fall;2011;Aug;0;Monday;Clear;28.358.347.000.000.000;319.127;47.0;1.854.225;833;3925;4758;weekdays;Ideal
235;23/08/2011;Fall;2011;Aug;0;Tuesday;Clear;26.274.153;30.303.350.000.000.000;455.417;9.833.121;1281;4614;5895;weekdays;Ideal
236;24/08/2011;Fall;2011;Aug;0;Wednesday;Clear;27.606.652.999.999.900;315.346;60.5;16.958.236;949;4181;5130;weekdays;Ideal
237;25/08/2011;Fall;2011;Aug;0;Thrusday;Misty;28.050.846.999.999.900;322.927;771.667;14.125.810.999.999.900;435;3107;3542;weekdays;Lembab
238;26/08/2011;Fall;2011;Aug;0;Friday;Clear;28.7;3.298.665;76.125;5.625.487.499.999.990;768;3893;4661;weekdays;Lembab
239;27/08/2011;Fall;2011;Aug;0;Saturday;Misty;27.880.000.000.000.000;317.778;85.0;25.166.338.999.999.900;226;889;1115;weekend;Lembab
240;28/08/2011;Fall;2011;Aug;0;Sunday;Clear;28.989.418.999.999.900;32.397.949.999.999.900;561.765;20.412.153;1415;2919;4334;weekend;Ideal
241;29/08/2011;Fall;2011;Aug;0;Monday;Clear;26.103.347;303.979;5.545.830.000.000.000;10.708.275;729;3905;4634;weekdays;Ideal
242;30/08/2011;Fall;2011;Aug;0;Tuesday;Clear;26.205.847.000.000.000;297.352;54.833.299.999.999.900;8.375.536;775;4429;5204;weekdays;Ideal
243;31/08/2011;Fall;2011;Aug;0;Wednesday;Clear;26.923.347;30.556.050.000.000.000;59.791.700.000.000.000;55.833.311;688;4370;5058;weekdays;Ideal
244;01/09/2011;Fall;2011;Sep;0;Thrusday;Clear;26.855;30.746.050.000.000.000;63.916.700.000.000.000;9.500.332;783;4332;5115;weekdays;Ideal
245;02/09/2011;Fall;2011;Sep;0;Friday;Misty;26.376.653;302.404;7.270.830.000.000.000;9.375.243;875;3852;4727;weekdays;Lembab
246;03/09/2011;Fall;2011;Sep;0;Saturday;Clear;27.435.847;3.166.065;716.667;12.416.775;1935;2549;4484;weekend;Lembab
247;04/09/2011;Fall;2011;Sep;0;Sunday;Clear;29.075.847;3.327.145;7.420.830.000.000.000;13.833.289;2521;2419;4940;weekend;Lembab
248;05/09/2011;Fall;2011;Sep;1;Monday;Misty;27.606.652.999.999.900;31.282.300.000.000.000;790.417;14.250.632;1236;2115;3351;weekdays;Lembab
249;06/09/2011;Fall;2011;Sep;0;Tuesday;Light_Rainsnow;22.14;25.759.999.999.999.900;886.957;23.044.181;204;2506;2710;weekdays;Lembab
250;07/09/2011;Fall;2011;Sep;0;Wednesday;Light_Rainsnow;24.565.847;2.721.145;917.083;6.500.393.600.000.000;118;1878;1996;weekdays;Lembab
251;08/09/2011;Fall;2011;Sep;0;Thrusday;Light_Rainsnow;25.990.433;2.776.805;939.565;12.914.116;153;1689;1842;weekdays;Lembab
252;09/09/2011;Fall;2011;Sep;0;Friday;Misty;26.650.000.000.000.000;289.473;8.979.169.999.999.990;8.333.393.000.000.000;417;3127;3544;weekdays;Lembab
253;10/09/2011;Fall;2011;Sep;0;Saturday;Clear;27.060.000.000.000.000;303.981;75.375;10.291.736;1750;3595;5345;weekend;Lembab
254;11/09/2011;Fall;2011;Sep;0;Sunday;Clear;26.786.653;3.046.145;71.375;7.708.618;1633;3413;5046;weekend;Lembab
255;12/09/2011;Fall;2011;Sep;0;Monday;Clear;26.418.268;30.106.500.000.000.000;692.174;5.957.171.000.000.000;690;4023;4713;weekdays;Lembab
256;13/09/2011;Fall;2011;Sep;0;Tuesday;Clear;26.684.153;301.777;71.25;9.500.868;701;4062;4763;weekdays;Lembab
257;14/09/2011;Fall;2011;Sep;0;Wednesday;Clear;27.606.652.999.999.900;31.345;697.083;112.091;647;4138;4785;weekdays;Lembab
258;15/09/2011;Fall;2011;Sep;0;Thrusday;Misty;23.677.500.000.000.000;2.768.355;709.167;18.166.782;428;3231;3659;weekdays;Lembab
259;16/09/2011;Fall;2011;Sep;0;Friday;Misty;19.235.847;2.307.375;590.417;11.000.261;742;4018;4760;weekdays;Ideal
260;17/09/2011;Fall;2011;Sep;0;Saturday;Misty;20.158.347;239.256;718.333;12.708.225;1434;3077;4511;weekend;Lembab
261;18/09/2011;Fall;2011;Sep;0;Sunday;Clear;20.807.499.999.999.900;2.452.685;69.5;11.958.361;1353;2921;4274;weekend;Lembab
262;19/09/2011;Fall;2011;Sep;0;Monday;Misty;22.515.846.999.999.900;2.648.375;69.0;10.166.713.999.999.900;691;3848;4539;weekdays;Lembab
263;20/09/2011;Fall;2011;Sep;0;Tuesday;Misty;23.028.347;26.610.850.000.000.000;88.125;9.041.917.999.999.990;438;3203;3641;weekdays;Lembab
264;21/09/2011;Fall;2011;Sep;0;Wednesday;Misty;24.395;27.526.650.000.000.000;90.0;64.590.814;539;3813;4352;weekdays;Lembab
265;22/09/2011;Fall;2011;Sep;0;Thrusday;Misty;25.761.653.000.000.000;2.774.815;902.083;8.584.375;555;4240;4795;weekdays;Lembab
266;23/09/2011;Winter;2011;Sep;0;Friday;Misty;24.975.847;26.106.249.999.999.900;97.25;52.505.689;258;2137;2395;weekdays;Lembab
267;24/09/2011;Winter;2011;Sep;0;Saturday;Misty;24.873.347;282.206;86.25;52.516.811;1776;3647;5423;weekend;Lembab
268;25/09/2011;Winter;2011;Sep;0;Sunday;Misty;26.000.847;28.631.849.999.999.900;84.5;33.754.064;1544;3466;5010;weekend;Lembab
269;26/09/2011;Winter;2011;Sep;0;Monday;Misty;26.615.847.000.000.000;29.452.099.999.999.900;848.333;74.169;684;3946;4630;weekdays;Lembab
270;27/09/2011;Winter;2011;Sep;0;Tuesday;Misty;26.103.347;28.726.249.999.999.900;885.417;7.917.457;477;3643;4120;weekdays;Lembab
271;28/09/2011;Winter;2011;Sep;0;Wednesday;Misty;26.035;28.757.899.999.999.900;84.875;9.958.143.000.000.000;480;3427;3907;weekdays;Lembab
272;29/09/2011;Winter;2011;Sep;0;Thrusday;Clear;25.283.347;287.256;6.991.669.999.999.990;11.583.161;653;4186;4839;weekdays;Lembab
273;30/09/2011;Winter;2011;Sep;0;Friday;Clear;23.130.847;2.724.145;64.75;13.833.825;830;4372;5202;weekdays;Ideal
274;01/10/2011;Winter;2011;Oct;0;Saturday;Misty;16.81;2.064.315;75.375;19.583.832;480;1949;2429;weekend;Lembab
275;02/10/2011;Winter;2011;Oct;0;Sunday;Misty;14.623.347;1.726.585;791.667;14.874.870.999.999.900;616;2302;2918;weekend;Lembab
276;03/10/2011;Winter;2011;Oct;0;Monday;Misty;15.750.846.999.999.900;196.023;760.833;55.841.686;330;3240;3570;weekdays;Lembab
277;04/10/2011;Winter;2011;Oct;0;Tuesday;Clear;19.850.847;236.429;71.0;13.792.218;486;3970;4456;weekdays;Lembab
278;05/10/2011;Winter;2011;Oct;0;Wednesday;Clear;22.071.652.999.999.900;263.569;6.479.169.999.999.990;1.187.575;559;4267;4826;weekdays;Ideal
279;06/10/2011;Winter;2011;Oct;0;Thrusday;Clear;20.260.847.000.000.000;2.402.125;62.083.299.999.999.900;9.041.917.999.999.990;639;4126;4765;weekdays;Ideal
280;07/10/2011;Winter;2011;Oct;0;Friday;Clear;20.944.153;252.202;6.841.669.999.999.990;15.002.439;949;4036;4985;weekdays;Lembab
281;08/10/2011;Winter;2011;Oct;0;Saturday;Clear;21.388.347;256.621;70.125;30.420.814;2235;3174;5409;weekend;Lembab
282;09/10/2011;Winter;2011;Oct;0;Sunday;Clear;22.174.153;2.619.915;72.75;4.251.150.000.000.000;2397;3114;5511;weekend;Lembab
283;10/10/2011;Winter;2011;Oct;1;Monday;Clear;23.404.153;2.714.625;73.375;28.343.814;1514;3603;5117;weekdays;Lembab
284;11/10/2011;Winter;2011;Oct;0;Tuesday;Misty;23.233.347.000.000.000;273.048;80.875;9.583.814;667;3896;4563;weekdays;Lembab
285;12/10/2011;Winter;2011;Oct;0;Wednesday;Light_Rainsnow;22.276.653;25.885.849.999.999.900;90.625;1.662.605;217;2199;2416;weekdays;Lembab
286;13/10/2011;Winter;2011;Oct;0;Thrusday;Misty;24.155.847;275.902;896.667;9.499.729;290;2623;2913;weekdays;Lembab
287;14/10/2011;Winter;2011;Oct;0;Friday;Misty;22.584.153;2.648.375;71.625;15.000.161;529;3115;3644;weekdays;Lembab
288;15/10/2011;Winter;2011;Oct;0;Saturday;Clear;20.773.346.999.999.900;24.936.249.999.999.900;483.333;17.291.561;1899;3318;5217;weekend;Ideal
289;16/10/2011;Winter;2011;Oct;0;Sunday;Clear;20.978.347;251.577;486.667;18.875.039;1748;3293;5041;weekend;Ideal
290;17/10/2011;Winter;2011;Oct;0;Monday;Clear;21.900.847;2.553.625;57.958.299.999.999.900;11.750.393;713;3857;4570;weekdays;Ideal
291;18/10/2011;Winter;2011;Oct;0;Tuesday;Misty;218.325;2.613.605;701.667;7.375.829;637;4111;4748;weekdays;Lembab
292;19/10/2011;Winter;2011;Oct;0;Wednesday;Light_Rainsnow;22.211.299;256.924;8.952.170.000.000.000;16.303.713;254;2170;2424;weekdays;Lembab
293;20/10/2011;Winter;2011;Oct;0;Thrusday;Clear;19.509.153;2.332.625;63.625;28.292.425;471;3724;4195;weekdays;Ideal
294;21/10/2011;Winter;2011;Oct;0;Friday;Clear;175.275;211.798;574.167;14.833.532;676;3628;4304;weekdays;Ideal
295;22/10/2011;Winter;2011;Oct;0;Saturday;Clear;17.322.499.999.999.900;212.746;62.916.700.000.000.000;62.086.689;1499;2809;4308;weekend;Ideal
296;23/10/2011;Winter;2011;Oct;0;Sunday;Clear;17.288.347;2.111.665;74.125;66.673.375;1619;2762;4381;weekend;Lembab
297;24/10/2011;Winter;2011;Oct;0;Monday;Clear;18.996.653;2.285.335;772.083;7.959.064;699;3488;4187;weekdays;Lembab
298;25/10/2011;Winter;2011;Oct;0;Tuesday;Clear;19.338.347;2.316.875;62.291.700.000.000.000;11.166.086;695;3992;4687;weekdays;Ideal
299;26/10/2011;Winter;2011;Oct;0;Wednesday;Misty;19.850.847;236.423;7.204.169.999.999.990;9.959.014;404;3490;3894;weekdays;Lembab
300;27/10/2011;Winter;2011;Oct;0;Thrusday;Misty;19.27;228.523;812.917;13.250.121;240;2419;2659;weekdays;Lembab
301;28/10/2011;Winter;2011;Oct;0;Friday;Misty;13.564.153;159.406;5.858.330.000.000.000;15.375.093;456;3291;3747;weekdays;Ideal
302;29/10/2011;Winter;2011;Oct;0;Saturday;Light_Rainsnow;10.420.846.999.999.900;1.139.565;88.25;23.541.857;57;570;627;weekend;Lembab
303;30/10/2011;Winter;2011;Oct;0;Sunday;Clear;13.085.847;1.606.645;62.375;11.833.339;885;2446;3331;weekend;Ideal
304;31/10/2011;Winter;2011;Oct;0;Monday;Clear;13.940.000.000.000.000;17.803.150.000.000.000;703.333;712.545;362;3307;3669;weekdays;Lembab
305;01/11/2011;Winter;2011;Nov;0;Tuesday;Clear;16.434.153;198.544;68.375;9.083.257;410;3658;4068;weekdays;Lembab
306;02/11/2011;Winter;2011;Nov;0;Wednesday;Clear;15.477.500.000.000.000;1.950.665;71.875;55.001.439;370;3816;4186;weekdays;Lembab
307;03/11/2011;Winter;2011;Nov;0;Thrusday;Clear;16.741.653;20.296.049.999.999.900;7.020.830.000.000.000;9.166.739;318;3656;3974;weekdays;Lembab
308;04/11/2011;Winter;2011;Nov;0;Friday;Misty;16.536.653;201.696;6.225.000.000.000.000;18.209.193;470;3576;4046;weekdays;Ideal
309;05/11/2011;Winter;2011;Nov;0;Saturday;Clear;13.393.346.999.999.900;161.927;51.916.700.000.000.000;12.667.154;1156;2770;3926;weekend;Ideal
310;06/11/2011;Winter;2011;Nov;0;Sunday;Clear;14.281.653;18.117.900.000.000.000;734.583;61.676.314;952;2697;3649;weekend;Lembab
311;07/11/2011;Winter;2011;Nov;0;Monday;Clear;16.195;2.004.355;75.875;3.834.075;373;3662;4035;weekdays;Lembab
312;08/11/2011;Winter;2011;Nov;0;Tuesday;Clear;16.741.653;206.123;7.216.669.999.999.990;46.255.125;376;3829;4205;weekdays;Lembab
313;09/11/2011;Winter;2011;Nov;0;Wednesday;Clear;16.400.000.000.000.000;20.453.950.000.000.000;7.583.330.000.000.000;41.671.186;305;3804;4109;weekdays;Lembab
314;10/11/2011;Winter;2011;Nov;0;Thrusday;Misty;15.58;1.868.605;813.333;12.667.489.000.000.000;190;2743;2933;weekdays;Lembab
315;11/11/2011;Winter;2011;Nov;1;Friday;Clear;13.290.847;1.534.085;44.625;21.083.225;440;2928;3368;weekdays;Kering
316;12/11/2011;Winter;2011;Nov;0;Saturday;Clear;14.623.347;178.971;552.917;14.208.154;1275;2792;4067;weekend;Ideal
317;13/11/2011;Winter;2011;Nov;0;Sunday;Clear;18.074.153;215.275;458.333;18.875.307;1004;2713;3717;weekend;Ideal
318;14/11/2011;Winter;2011;Nov;0;Monday;Clear;21.73;262.306;587.083;20.541.932;595;3891;4486;weekdays;Ideal
319;15/11/2011;Winter;2011;Nov;0;Tuesday;Misty;21.73;2.537.895;68.875;13.375.411;449;3746;4195;weekdays;Lembab
320;16/11/2011;Winter;2011;Nov;0;Wednesday;Light_Rainsnow;18.723.347;225.994;93.0;9.167.543;145;1672;1817;weekdays;Lembab
321;17/11/2011;Winter;2011;Nov;0;Thrusday;Misty;14.008.347;1.616.105;575.833;20.459.254;139;2914;3053;weekdays;Ideal
322;18/11/2011;Winter;2011;Nov;0;Friday;Clear;11.240.847;1.363.605;41.0;11.291.711;245;3147;3392;weekdays;Kering
323;19/11/2011;Winter;2011;Nov;0;Saturday;Clear;13.495.847;1.622.415;50.208.299.999.999.900;15.041.232;943;2720;3663;weekend;Ideal
324;20/11/2011;Winter;2011;Nov;0;Sunday;Misty;18.996.653;228.529;6.845.830.000.000.000;1.245.865;787;2733;3520;weekend;Lembab
325;21/11/2011;Winter;2011;Nov;0;Monday;Light_Rainsnow;183.475;222.531;91.0;9.249.618;220;2545;2765;weekdays;Lembab
326;22/11/2011;Winter;2011;Nov;0;Tuesday;Light_Rainsnow;17.083.347;210.848;96.25;7.959.064;69;1538;1607;weekdays;Lembab
327;23/11/2011;Winter;2011;Nov;0;Wednesday;Misty;18.074.153;2.152.685;7.579.169.999.999.990;22.500.275;112;2454;2566;weekdays;Lembab
328;24/11/2011;Winter;2011;Nov;1;Thrusday;Clear;15.306.653;1.862.355;549.167;11.209.368.000.000.000;560;935;1495;weekdays;Ideal
329;25/11/2011;Winter;2011;Nov;0;Friday;Clear;15.375;19.033.549.999.999.900;64.375;66.260.186;1095;1697;2792;weekdays;Ideal
330;26/11/2011;Winter;2011;Nov;0;Saturday;Clear;15.409.152.999.999.900;19.254.350.000.000.000;681.667;45.841.936;1249;1819;3068;weekend;Lembab
331;27/11/2011;Winter;2011;Nov;0;Sunday;Clear;18.825.847;22.79;698.333;13.999.918;810;2261;3071;weekend;Lembab
332;28/11/2011;Winter;2011;Nov;0;Monday;Clear;20.642.598;245.061;743.043;9.522.174;253;3614;3867;weekdays;Lembab
333;29/11/2011;Winter;2011;Nov;0;Tuesday;Misty;18.791.653;2.256.875;8.308.330.000.000.000;17.292.164;96;2818;2914;weekdays;Lembab
334;30/11/2011;Winter;2011;Nov;0;Wednesday;Clear;13.325.000.000.000.000;15.561.050.000.000.000;613.333;18.167.586;188;3425;3613;weekdays;Ideal
335;01/12/2011;Winter;2011;Dec;0;Thrusday;Clear;128.125;152.777;524.583;14.750.586;182;3545;3727;weekdays;Ideal
336;02/12/2011;Winter;2011;Dec;0;Friday;Clear;12.880.847;16.571.649.999.999.900;62.583.299.999.999.900;6.750.518;268;3672;3940;weekdays;Ideal
337;03/12/2011;Winter;2011;Dec;0;Saturday;Clear;12.265.847;15.530.199.999.999.900;61.291.700.000.000.000;64.174.811;706;2908;3614;weekend;Ideal
338;04/12/2011;Winter;2011;Dec;0;Sunday;Clear;13.564.153;17.455.000.000.000.000;775.833;56.252.061;634;2851;3485;weekend;Lembab
339;05/12/2011;Winter;2011;Dec;0;Monday;Misty;15.819.153;19.696.250.000.000.000;8.270.830.000.000.000;41.679.561.000.000.000;233;3578;3811;weekdays;Lembab
340;06/12/2011;Winter;2011;Dec;0;Tuesday;Light_Rainsnow;18.962.500.000.000.000;22.82;949.583;15.583.061;126;2468;2594;weekdays;Lembab
341;07/12/2011;Winter;2011;Dec;0;Wednesday;Light_Rainsnow;16.81;200.123;9.704.169.999.999.990;17.833.725;50;655;705;weekdays;Lembab
342;08/12/2011;Winter;2011;Dec;0;Thrusday;Clear;10.899.153;128.469;5.799.999.999.999.990;16.083.886;150;3172;3322;weekdays;Ideal
343;09/12/2011;Winter;2011;Dec;0;Friday;Clear;11.924.153;15.877.099.999.999.900;6.958.330.000.000.000;55.420.189;261;3359;3620;weekdays;Lembab
344;10/12/2011;Winter;2011;Dec;0;Saturday;Clear;11.275;13.320.599.999.999.900;5.074.999.999.999.990;15.625.807;502;2688;3190;weekend;Ideal
345;11/12/2011;Winter;2011;Dec;0;Sunday;Clear;9.054.153;126.577;49.0;4.458.293.899.999.990;377;2366;2743;weekend;Ideal
346;12/12/2011;Winter;2011;Dec;0;Monday;Clear;9.771.652.999.999.990;135.098;6.708.330.000.000.000;4.251.150.000.000.000;143;3167;3310;weekdays;Lembab
347;13/12/2011;Winter;2011;Dec;0;Tuesday;Clear;115.825;150.569;59.0;941.685;155;3368;3523;weekdays;Ideal
348;14/12/2011;Winter;2011;Dec;0;Wednesday;Misty;130.175;169.181;66.375;40.842.061;178;3562;3740;weekdays;Lembab
349;15/12/2011;Winter;2011;Dec;0;Thrusday;Misty;17.322.499.999.999.900;2.061.185;63.416.700.000.000.000;17.958.814;181;3528;3709;weekdays;Ideal
350;16/12/2011;Winter;2011;Dec;0;Friday;Misty;15.375;1.799.125;500.417;17.458.525;178;3399;3577;weekdays;Ideal
351;17/12/2011;Winter;2011;Dec;0;Saturday;Misty;10.591.652.999.999.900;1.246.855;560.833;16.292.189;275;2464;2739;weekend;Ideal
352;18/12/2011;Winter;2011;Dec;0;Sunday;Clear;9.771.652.999.999.990;1.227.895;5.862.500.000.000.000;11.375.193.000.000.000;220;2211;2431;weekend;Ideal
353;19/12/2011;Winter;2011;Dec;0;Monday;Clear;11.343.347;1.404.665;6.374.999.999.999.990;11.584.031.999.999.900;260;3143;3403;weekdays;Ideal
354;20/12/2011;Winter;2011;Dec;0;Tuesday;Misty;15.819.153;19.822.699.999.999.900;595.417;41.252.436;216;3534;3750;weekdays;Ideal
355;21/12/2011;Spring;2011;Dec;0;Wednesday;Misty;17.561.653;2.140.085;8.583.330.000.000.000;148.338;107;2553;2660;weekdays;Lembab
356;22/12/2011;Spring;2011;Dec;0;Thrusday;Misty;17.356.653;21.306.050.000.000.000;75.75;31.674.249.999.999.900;227;2841;3068;weekdays;Lembab
357;23/12/2011;Spring;2011;Dec;0;Friday;Clear;15.306.653;1.887.565;68.625;18.374.482;163;2046;2209;weekdays;Lembab
358;24/12/2011;Spring;2011;Dec;0;Saturday;Clear;124.025;149.621;54.25;12.750.368;155;856;1011;weekend;Ideal
359;25/12/2011;Spring;2011;Dec;0;Sunday;Clear;11.266.103;13.998.050.000.000.000;6.813.040.000.000.000;10.391.097;303;451;754;weekend;Lembab
360;26/12/2011;Spring;2011;Dec;1;Monday;Clear;13.191.299;1.577.675;506.957;16.044.155;430;887;1317;weekdays;Ideal
361;27/12/2011;Spring;2011;Dec;0;Tuesday;Misty;13.325.000.000.000.000;1.638.165;76.25;1.262.615;103;1059;1162;weekdays;Lembab
362;28/12/2011;Spring;2011;Dec;0;Wednesday;Clear;12.264.330.000.000.000;139.987;5.039.130.000.000.000;19.695.386.999.999.900;255;2047;2302;weekdays;Ideal
